stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Fryderyk\Projects\labirynt\Labirynt\Debug\allegro5.cfg r
display  D   display_settings.c:398  _al_score_display_settings       [  78.61492] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [  78.61494] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [  78.61498] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [  78.61501] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [  78.61504] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [  78.61506] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [  78.61508] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [  78.61510] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [  78.61512] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [  78.61514] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [  78.61517] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [  78.61519] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [  78.61521] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [  78.61523] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [  78.61525] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [  78.61527] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [  78.61529] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [  78.61531] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [  78.61533] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [  78.61535] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [  78.61537] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [  78.61539] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [  78.61541] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [  78.61543] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [  78.61545] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [  78.61547] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [  78.61549] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [  78.61551] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [  78.61553] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [  78.61555] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [  78.61557] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [  78.61559] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [  78.61561] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [  78.61563] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [  78.61567] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [  78.61570] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [  78.61573] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [  78.61575] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [  78.61580] Score is : 769
